"YEAR","MONTH","DAY","WEEK","DATE","MKT_AIRLINE","MKT_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN_IATA","ORIGIN_CITY","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST_IATA","DEST_CITY","SCH_DEP_TIME","ACT_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","SCH_ARR_TIME","ACT_ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","SCH_DURATION","ACT_DURATION","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","TOTAL_ADD_GTIME","ORIGIN_TYPE","ORIGIN_ELEV","ORIGIN_TZ","DEST_TYPE","DEST_ELEV","DEST_TZ","SCH_DEP_TIME_UTC","ACT_DEP_TIME_UTC","SCH_ARR_TIME_UTC","ACT_ARR_TIME_UTC"
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1044,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",10693,1069302,30693,"BNA","Nashville, TN","1837","1835",-2,0,12,"1847","2014",5,"2025","2019",-6,0,NA,108,104,87,631,NA,NA,NA,NA,NA,NA,"large_airport",607,"America/Chicago","large_airport",599,"America/Chicago",2024-05-01 23:37:00,2024-05-01 23:35:00,2024-05-02 01:25:00,2024-05-02 01:19:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1045,10434,1043405,30434,"AVP","Scranton/Wilkes-Barre, PA",11057,1105703,31057,"CLT","Charlotte, NC","0600","0557",-3,0,10,"0607","0726",4,"0747","0730",-17,0,NA,107,93,79,509,NA,NA,NA,NA,NA,NA,"medium_airport",962,"America/New_York","large_airport",748,"America/New_York",2024-05-01 10:00:00,2024-05-01 09:57:00,2024-05-01 11:47:00,2024-05-01 11:30:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1046,10397,1039707,30397,"ATL","Atlanta, GA",13303,1330303,32467,"MIA","Miami, FL","0702","0659",-3,0,16,"0715","0838",18,"0900","0856",-4,0,NA,118,117,83,594,NA,NA,NA,NA,NA,NA,"large_airport",1026,"America/New_York","large_airport",8,"America/New_York",2024-05-01 11:02:00,2024-05-01 10:59:00,2024-05-01 13:00:00,2024-05-01 12:56:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1048,11057,1105703,31057,"CLT","Charlotte, NC",13930,1393008,30977,"ORD","Chicago, IL","2050","2048",-2,0,16,"2104","2127",8,"2158","2135",-23,0,NA,128,107,83,599,NA,NA,NA,NA,NA,NA,"large_airport",748,"America/New_York","large_airport",680,"America/Chicago",2024-05-02 00:50:00,2024-05-02 00:48:00,2024-05-02 02:58:00,2024-05-02 02:35:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1049,15412,1541206,35412,"TYS","Knoxville, TN",11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","0532","0524",-8,0,22,"0546","0637",13,"0710","0650",-20,0,NA,158,146,111,772,NA,NA,NA,NA,NA,NA,"medium_airport",981,"America/New_York","large_airport",607,"America/Chicago",2024-05-01 09:32:00,2024-05-01 09:24:00,2024-05-01 12:10:00,2024-05-01 11:50:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1050,10257,1025702,30257,"ALB","Albany, NY",11057,1105703,31057,"CLT","Charlotte, NC","0614","0609",-5,0,13,"0622","0815",5,"0826","0820",-6,0,NA,132,131,113,646,NA,NA,NA,NA,NA,NA,"medium_airport",285,"America/New_York","large_airport",748,"America/New_York",2024-05-01 10:14:00,2024-05-01 10:09:00,2024-05-01 12:26:00,2024-05-01 12:20:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1051,10397,1039707,30397,"ATL","Atlanta, GA",11298,1129806,30194,"DFW","Dallas/Fort Worth, TX","1828","1908",40,40,14,"1922","2005",13,"1958","2018",20,0,NA,150,130,103,731,4,0,0,0,16,NA,"large_airport",1026,"America/New_York","large_airport",607,"America/Chicago",2024-05-01 22:28:00,2024-05-01 23:08:00,2024-05-02 00:58:00,2024-05-02 01:18:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1051,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",10397,1039707,30397,"ATL","Atlanta, GA","1426","1503",37,37,14,"1517","1756",14,"1734","1810",36,0,NA,128,127,99,731,0,0,0,0,36,NA,"large_airport",607,"America/Chicago","large_airport",1026,"America/New_York",2024-05-01 19:26:00,2024-05-01 20:03:00,2024-05-01 21:34:00,2024-05-01 22:10:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1052,11298,1129806,30194,"DFW","Dallas/Fort Worth, TX",15412,1541206,35412,"TYS","Knoxville, TN","2054","2058",4,4,17,"2115","2352",15,"2359","0007",8,0,NA,125,129,97,772,NA,NA,NA,NA,NA,NA,"large_airport",607,"America/Chicago","medium_airport",981,"America/New_York",2024-05-02 01:54:00,2024-05-02 01:58:00,2024-05-02 03:59:00,2024-05-02 04:07:00
2024,5,1,"Wed","5/1/2024 12:00:00 AM","AA",1054,13303,1330303,32467,"MIA","Miami, FL",10721,1072102,30721,"BOS","Boston, MA","2101","2108",7,7,16,"2124","0012",6,"0023","0018",-5,0,NA,202,190,168,1258,NA,NA,NA,NA,NA,NA,"large_airport",8,"America/New_York","large_airport",20,"America/New_York",2024-05-02 01:01:00,2024-05-02 01:08:00,2024-05-02 04:23:00,2024-05-02 04:18:00
